640 1690308673
1840 1690308828
5420 1690309053
480 1690309189
2520 1690309308
1200 1690309418
2980 1690309430
1560 1690309539
400 1690309624
7120 1690309726
320 1690309751
2000 1690309768
180 1690309989
2280 1690310093
320 1690310181
200 1690310197
280 1690310236
1640 1690310256
1980 1690310358
2060 1690310394
6600 1690310512
16240 1690310533
580 1690310578
4880 1690310623
380 1690310633
1180 1690310701
1820 1690310827
4240 1690310846
3320 1690310856
800 1690310876
4520 1690310881
380 1690311040
680 1690311206
860 1690311228
4920 1690311281
4440 1690311295
100 1690311328
6700 1690311378
3140 1690311385
520 1690311406
900 1690311531
2620 1690311536
180 1690311538
580 1690311545
640 1690311587
80 1690311757
1480 1690311797
400 1690311827
5820 1690311832
3060 1690311834
4500 1690312020
740 1690312139
2520 1690312174
2580 1690312231
4600 1690312338
920 1690312419
720 1690312461
360 1690312535
2420 1690312607
540 1690312607
980 1690312614
3520 1690312622
560 1690312652
340 1690312725
1260 1690312756
3260 1690312885
4200 1690312890
740 1690312970
4920 1690312972
2480 1690313040
1820 1690313123
1860 1690313198
9060 1690313258
1560 1690313304
2320 1690313327
3160 1690313516
100 1690313569
600 1690313579
2240 1690313601
220 1690313687
4700 1690313762
520 1690313789
860 1690313941
920 1690313990
540 1690314210
1300 1690314230
720 1690314329
800 1690314340
1360 1690314407
1760 1690314430
1340 1690314472
480 1690314502
1100 1690314528
1060 1690314601
340 1690314680
300 1690314844
160 1690314949
3180 1690315114
80 1690315183
8440 1690315193
120 1690315278
1560 1690315291
260 1690315310
460 1690315367
2900 1690315470
1040 1690315554
340 1690315600
1880 1690315806
520 1690315833
600 1690315839
1200 1690315889
5180 1690315896
2460 1690315918
1480 1690315972
760 1690316056
1380 1690316068
2080 1690316245
2660 1690316368
5600 1690316450
2320 1690316561
5480 1690316580
1540 1690316584
3180 1690316713
760 1690316757
80 1690316825
1720 1690316896
2860 1690316968
4100 1690316969
1880 1690316999
820 1690317051
4180 1690317232
1700 1690317355
620 1690317368
1400 1690317668
1260 1690318020
560 1690318037
1400 1690318039
1680 1690318072
3800 1690318176
260 1690318298
1600 1690318373
2180 1690318428
4060 1690318480
3520 1690318589
180 1690318601
1100 1690318667
1440 1690318715
460 1690318724
1960 1690318808
900 1690318832
2160 1690318992
300 1690318994
100 1690319041
600 1690319100
940 1690319142
2420 1690319242
1500 1690319265
460 1690319313
1640 1690319355
7680 1690319392
1180 1690319452
1800 1690319488
12700 1690319490
580 1690319552
2560 1690319667
2420 1690319921
240 1690319944
800 1690320265
3240 1690320300
2320 1690320317
7640 1690320318
700 1690320358
80 1690320367
1300 1690320408
1640 1690320432
1260 1690320464
2020 1690320568
1680 1690320593
4980 1690320605
1620 1690320664
80 1690320748
3880 1690320781
720 1690320984
180 1690321015
1620 1690321184
5280 1690321245
2560 1690321268
2680 1690321271
2200 1690321286
3440 1690321309
3520 1690321324
2940 1690321359
400 1690321420
1760 1690321484
2700 1690321529
440 1690321543
880 1690321604
980 1690321677
3740 1690321742
5020 1690321798
1980 1690321842
4440 1690321896
2360 1690321921
1320 1690322064
3560 1690322215
460 1690322368
1260 1690322403
1860 1690322698
120 1690322710
1080 1690322897
5240 1690322913
920 1690322916
560 1690322989
2480 1690323000
1500 1690323050
3240 1690323231
80 1690323238
560 1690323337
4920 1690323347
300 1690323441
60 1690323506
560 1690323552
240 1690323746
1480 1690323771
2200 1690323802
2420 1690323837
140 1690323937
320 1690324022
1100 1690324084
8140 1690324118
2320 1690324247
1220 1690324258
2220 1690324278
480 1690324328
320 1690324330
3220 1690324387
13500 1690324387
2140 1690324434
240 1690324516
380 1690324818
3560 1690324866
1360 1690324872
440 1690324915
2960 1690324944
3220 1690325039
10800 1690325042
340 1690325114
160 1690325195
1460 1690325382
3500 1690325458
1380 1690325514
720 1690325532
2800 1690325556
6880 1690325601
1680 1690325628
1980 1690325766
760 1690325806
580 1690325930
1100 1690326002
1080 1690326513
2860 1690326596
2840 1690326768
440 1690326773
880 1690326961
4880 1690327100
2860 1690327151
2500 1690327216
4380 1690327228
280 1690327405
2880 1690327504
4320 1690327664
7880 1690327707
2360 1690327750
1080 1690327750
360 1690327874
500 1690327921
740 1690328049
4280 1690328091
120 1690328255
11480 1690328279
12520 1690328280
2860 1690328391
1940 1690328439
10680 1690328586
1000 1690328603
12280 1690328714
500 1690328793
1900 1690328910
2060 1690328912
1860 1690328967
1600 1690329112
1720 1690329174
2060 1690329184
3500 1690329219
4440 1690329314
3340 1690329356
1120 1690329373
1340 1690329407
280 1690329551
2180 1690329750
7220 1690329783
1540 1690329805
7500 1690329870
680 1690329918
2160 1690329942
1140 1690329950
1920 1690330117
320 1690330172
6580 1690330175
560 1690330272
620 1690330333
1220 1690330441
2340 1690330446
2920 1690330588
5800 1690330597
2540 1690330602
2400 1690330650
2520 1690330679
1920 1690330679
2280 1690330688
4980 1690330839
740 1690330982
680 1690331011
6100 1690331034
4760 1690331091
2440 1690331193
5680 1690331267
520 1690331325
520 1690331368
2240 1690331410
3140 1690331439
700 1690331444
860 1690331604
1660 1690331653
200 1690331737
1080 1690331752
3000 1690331787
4360 1690331837
5020 1690331861
1140 1690331967
1320 1690331979
3460 1690332094
1240 1690332120
1220 1690332183
120 1690332210
640 1690332230
60 1690332276
2700 1690332306
480 1690332341
720 1690332348
4980 1690332450
740 1690332460
8460 1690332555
3180 1690332572
320 1690332595
1500 1690332624
2820 1690332629
10520 1690332662
3400 1690332707
3320 1690332742
3960 1690332955
2080 1690333035
5500 1690333160
3000 1690333196
2580 1690333207
700 1690333304
2380 1690333342
4600 1690333429
80 1690333513
